gene_id,ERR4198627,ERR4198629,ERR4198630,ERR4198632,ERR4198634,ERR4198636,ERR4198638,ERR4198640,ERR4198642
ENSG00000116251.11|RPL22,40423,15875,25464,11360,9805,31045,2664,3051,5888
ENSG00000226944.1|RNF207-AS1,20,6,16,8,0,36,0,5,2
ENSG00000162426.16|SLC45A1,219,82,79,100,95,388,76,99,184
ENSG00000252254.1|Y_RNA,1,0,0,0,1,0,0,1,0
ENSG00000097021.20|ACOT7,7278,1708,2618,1173,917,4366,529,869,1398
ENSG00000069812.11|HES2,185,80,68,51,105,173,20,12,24
ENSG00000265392.1|MIR4252,0,0,0,0,0,0,0,0,0
ENSG00000187017.18|ESPN,218,45,56,138,171,214,27,22,10
ENSG00000215788.11|TNFRSF25,527,268,219,157,213,858,134,310,115
ENSG00000171680.23|PLEKHG5,2540,934,792,527,1015,2917,266,768,442
ENSG00000253022.1|RNU6-731P,0,0,0,0,0,0,0,0,0
ENSG00000229519.2|ENSG00000229519,0,1,0,0,0,0,0,0,0
ENSG00000173662.21|TAS1R1,2,0,0,7,0,9,0,0,0
ENSG00000204859.13|ZBTB48,2077,1044,1183,549,521,2053,265,470,315
ENSG00000116273.6|PHF13,4973,2134,2837,731,599,2847,310,398,419
ENSG00000041988.16|THAP3,3235,780,947,669,561,1643,305,407,326
ENSG00000007923.17|DNAJC11,6611,2466,3374,1147,1245,4908,827,1655,1357
ENSG00000228750.7|LINC01672,0,0,0,0,0,0,0,0,3
ENSG00000284744.1|ENSG00000284744,0,0,0,0,0,2,0,0,0
ENSG00000227950.1|ENSG00000227950,0,0,0,0,0,0,0,0,1
ENSG00000171735.19|CAMTA1,5135,2274,3051,1538,1673,6677,2329,5113,7678
ENSG00000237365.1|ENSG00000237365,0,0,0,0,0,1,0,0,0
ENSG00000237728.2|CAMTA1-AS2,0,0,0,0,0,2,0,0,0
ENSG00000225126.1|CAMTA1-AS1,0,0,0,0,0,0,0,0,2
ENSG00000049246.15|PER3,1250,501,859,196,204,1196,734,980,868
